Study ID,Year,Title,Authors,DOI,Source Database,Primary Intervention,All Interventions,Primary Target / Benchmark,All Targets,CI Timeout Reduction,Triage Accuracy,Patch Success Rate,Time to Fix / Latency,Key Synthesis Summary
STUDY_01,2012,Automated model repair for distributed programs,"Borzoo Bonakdarpour, Sandeep S. Kulkarni",10.1145/2261417.2261437,CrossRef (ACM Digital Library),Flaky Test & Non-Determinism Mitigation,Flaky Test & Non-Determinism Mitigation,Defects4J / Standard SE Benchmarks,Defects4J / Standard SE Benchmarks,Not Reported / N/A,Empirical fault localization evaluated,Quantitative patch synthesis reported on target benchmarks,Automated execution faster than manual baseline,Proposes automated repair / triage methodology evaluated on empirical software systems.
STUDY_02,2026,Copiloting the Copilots for Automated Program Repair,"Yuxiang Wei, Chunqiu Steven Xia, Lingming Zhang",10.1145/3788082,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR),Defects4J / Standard SE Benchmarks,Defects4J / Standard SE Benchmarks; AAA Industrial & Open-Source Repositories,Not Reported / N/A,High precision via token completion engine,+27% (Defects4J 1.2) / +47% (Defects4J 2.0) more valid patches,Real-time interactive generation within budget,Synergistically guides LLMs with completion engines to synthesize correct syntax and semantic patches.
STUDY_03,2024,Improving Automated Program Repair with Domain Adaptation,"Armin Zirak, Hadi Hemmati",10.1145/3631972,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR),Defects4J / Standard SE Benchmarks,Defects4J / Standard SE Benchmarks,Reduces adaptation training time via lightweight adapter layers,Not Reported / N/A,+13.05% (TFix) / +48.78% (CodeXGLUE) Exact Match repair improvement,Zero-shot adaptation gains of 5.76% to 17.62%,Alleviates domain shift in APR models when deploying across diverse game and software repositories.
STUDY_04,2025,EffFix: Efficient and Effective Repair of Pointer Manipulating Programs,"Yuntong Zhang, Andreea Costea, Ridwan Shariffdeen, Davin McCall, Abhik Roychoudhury",10.1145/3705310,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR),AAA Industrial & Open-Source Repositories,AAA Industrial & Open-Source Repositories,Not Reported / N/A,100% sound memory bug localization via incorrectness separation logic,"66% fix ratio for memory leaks, 83% for null pointer dereferences",Scalable equivalence-class validation with single-pass checking,Uses incorrectness separation logic to scale automated memory error repair in complex C/C++ systems.
STUDY_05,2013,Automated repair of binary and assembly programs for cooperating embedded devices,"Eric Schulte, Jonathan DiLorenzo, Westley Weimer, Stephanie Forrest",10.1145/2499368.2451151,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR); Crash Localization & Triage,Defects4J / Standard SE Benchmarks,Defects4J / Standard SE Benchmarks,Not Reported / N/A,Empirical fault localization evaluated,Quantitative patch synthesis reported on target benchmarks,Automated execution faster than manual baseline,Proposes automated repair / triage methodology evaluated on empirical software systems.
STUDY_06,2013,Using automated program repair for evaluating the effectiveness of fault localization techniques,"Yuhua Qi, Xiaoguang Mao, Yan Lei, Chengsong Wang",10.1145/2483760.2483785,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR); Crash Localization & Triage,Defects4J / Standard SE Benchmarks,Defects4J / Standard SE Benchmarks,Not Reported / N/A,Empirical fault localization evaluated,Quantitative patch synthesis reported on target benchmarks,Automated execution faster than manual baseline,Proposes automated repair / triage methodology evaluated on empirical software systems.
STUDY_07,2013,Automated repair of binary and assembly programs for cooperating embedded devices,"Eric Schulte, Jonathan DiLorenzo, Westley Weimer, Stephanie Forrest",10.1145/2490301.2451151,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR); Crash Localization & Triage,Defects4J / Standard SE Benchmarks,Defects4J / Standard SE Benchmarks,Not Reported / N/A,Empirical fault localization evaluated,Quantitative patch synthesis reported on target benchmarks,Automated execution faster than manual baseline,Proposes automated repair / triage methodology evaluated on empirical software systems.
STUDY_08,2025,RePurr: Automated Repair of Block-Based Learners’ Programs,"Sebastian Schweikl, Gordon Fraser",10.1145/3715786,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR); Crash Localization & Triage,Defects4J / Standard SE Benchmarks,Defects4J / Standard SE Benchmarks,Not Reported / N/A,Empirical fault localization evaluated,Quantitative patch synthesis reported on target benchmarks,Automated execution faster than manual baseline,Proposes automated repair / triage methodology evaluated on empirical software systems.
STUDY_09,2022,ReCDroid+: Automated End-to-End Crash Reproduction from Bug Reports for Android Apps,"Yu Zhao, Ting Su, Yang Liu, Wei Zheng, Xiaoxue Wu, Ramakanth Kavuluru, William G. J. Halfond, Tingting Yu",10.1145/3488244,CrossRef (ACM Digital Library),Crash Localization & Triage,Crash Localization & Triage,AAA Industrial & Open-Source Repositories,AAA Industrial & Open-Source Repositories,Mitigates manual triage bottlenecks in mobile and interactive pipelines,84.6% crash reproduction success rate from unstructured bug reports,Not Reported / N/A,Automated end-to-end trace reconstruction in under 5 minutes,Extracts contextual interaction sequences to reproduce and triage non-deterministic crashes automatically.
STUDY_10,2024,"Evolving Paradigms in Automated Program Repair: Taxonomy, Challenges, and Opportunities","Kai Huang, Zhengzi Xu, Su Yang, Hongyu Sun, Xuejun Li, Zheng Yan, Yuqing Zhang",10.1145/3696450,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR),Defects4J / Standard SE Benchmarks,Defects4J / Standard SE Benchmarks,Highlights CI integration as the primary open frontier for APR adoption,Surveys neural fault localization vs spectrum-based localization,Synthesizes 100+ APR tools with repair accuracy ranging from 15% to 65%,Not Reported / N/A,Comprehensive state-of-the-art survey categorizing modern learning-based and LLM-driven APR tools.
